kuhmo	x100	y100	ano	wno
90794	3607250	7089450	18	5
90490	3613850	7089550	17	2
90489	3613750	7089550	3	5
90488	3613650	7089550	11	1
90487	3613550	7089550	35	0
90486	3613450	7089550	17	6
90482	3613050	7089550	6	0
90481	3612950	7089550	7	0
90480	3612850	7089550	4	0
90479	3612750	7089550	3	7
90477	3612550	7089550	9	0
90476	3612450	7089550	16	1
90475	3612350	7089550	0	0
90474	3612250	7089550	4	0
90473	3612150	7089550	16	0
90472	3612050	7089550	25	1
90471	3611950	7089550	8	0
90467	3611550	7089550	9	0
90466	3611450	7089550	12	0
90465	3611350	7089550	16	1
90464	3611250	7089550	20	0
90463	3611150	7089550	19	1
90462	3611050	7089550	6	0
90461	3610950	7089550	10	0
90460	3610850	7089550	1	4
90459	3610750	7089550	10	0
90458	3610650	7089550	0	0
90457	3610550	7089550	0	0
90456	3610450	7089550	3	0
90455	3610350	7089550	0	0
90451	3609950	7089550	0	0
90447	3609550	7089550	0	0
90440	3608850	7089550	2	0
90438	3608650	7089550	1	1
90437	3608550	7089550	2	0
90435	3608350	7089550	0	0
90434	3608250	7089550	0	0
90433	3608150	7089550	0	0
90432	3608050	7089550	0	0
90431	3607950	7089550	0	0
90429	3607750	7089550	9	2
90428	3607650	7089550	2	0
90427	3607550	7089550	16	3
90426	3607450	7089550	30	2
90425	3607350	7089550	20	3
90424	3607250	7089550	19	1
90118	3613650	7089650	3	10
90117	3613550	7089650	21	1
90116	3613450	7089650	20	0
90115	3613350	7089650	13	1
90114	3613250	7089650	6	0
90113	3613150	7089650	0	0
90112	3613050	7089650	0	0
90111	3612950	7089650	5	14
90108	3612650	7089650	0	0
90107	3612550	7089650	0	0
90106	3612450	7089650	0	0
90105	3612350	7089650	10	0
90104	3612250	7089650	1	0
90103	3612150	7089650	2	1
90102	3612050	7089650	21	0
90101	3611950	7089650	17	0
90100	3611850	7089650	10	0
90099	3611750	7089650	5	1
90097	3611550	7089650	11	1
90096	3611450	7089650	10	0
90095	3611350	7089650	10	5
90094	3611250	7089650	7	5
90093	3611150	7089650	2	1
90092	3611050	7089650	4	3
90091	3610950	7089650	24	0
90090	3610850	7089650	15	0
90088	3610650	7089650	8	2
90087	3610550	7089650	38	1
90086	3610450	7089650	32	0
90085	3610350	7089650	3	0
90084	3610250	7089650	32	5
90077	3609550	7089650	0	0
90076	3609450	7089650	0	0
90070	3608850	7089650	5	0
90069	3608750	7089650	3	1
90068	3608650	7089650	0	0
90067	3608550	7089650	0	0
90066	3608450	7089650	0	0
90064	3608250	7089650	2	1
90063	3608150	7089650	2	1
90062	3608050	7089650	3	3
90061	3607950	7089650	0	1
90060	3607850	7089650	1	0
90058	3607650	7089650	0	0
90054	3607250	7089650	14	4
89755	3614350	7089750	7	3
89746	3613450	7089750	11	0
89745	3613350	7089750	19	0
89744	3613250	7089750	21	0
89743	3613150	7089750	12	3
89741	3612950	7089750	35	12
89738	3612650	7089750	4	0
89737	3612550	7089750	0	0
89736	3612450	7089750	0	0
89734	3612250	7089750	0	0
89733	3612150	7089750	11	2
89732	3612050	7089750	7	0
89730	3611850	7089750	12	0
89729	3611750	7089750	31	0
89728	3611650	7089750	5	0
89725	3611350	7089750	0	1
89724	3611250	7089750	6	6
89723	3611150	7089750	9	2
89722	3611050	7089750	10	0
89721	3610950	7089750	3	0
89718	3610650	7089750	23	1
89717	3610550	7089750	36	0
89716	3610450	7089750	29	0
89715	3610350	7089750	36	0
89714	3610250	7089750	25	0
89713	3610150	7089750	25	1
89701	3608950	7089750	0	0
89699	3608750	7089750	0	0
89698	3608650	7089750	0	0
89697	3608550	7089750	0	0
89696	3608450	7089750	0	0
89694	3608250	7089750	1	0
89693	3608150	7089750	0	0
89690	3607850	7089750	0	0
89689	3607750	7089750	0	2
89688	3607650	7089750	3	0
89687	3607550	7089750	1	1
89686	3607450	7089750	3	0
89685	3607350	7089750	0	0
89684	3607250	7089750	2	0
89382	3614050	7089850	1	0
89381	3613950	7089850	1	0
89374	3613250	7089850	23	1
89373	3613150	7089850	41	0
89372	3613050	7089850	12	1
89371	3612950	7089850	16	2
89370	3612850	7089850	16	4
89369	3612750	7089850	0	6
89368	3612650	7089850	0	0
89367	3612550	7089850	0	0
89363	3612150	7089850	5	0
89362	3612050	7089850	22	2
89361	3611950	7089850	1	0
89359	3611750	7089850	11	0
89358	3611650	7089850	60	0
89357	3611550	7089850	16	0
89355	3611350	7089850	0	0
89354	3611250	7089850	2	4
89353	3611150	7089850	12	4
89352	3611050	7089850	21	1
89351	3610950	7089850	28	3
89350	3610850	7089850	0	1
89349	3610750	7089850	2	1
89347	3610550	7089850	42	2
89346	3610450	7089850	16	3
89343	3610150	7089850	14	0
89342	3610050	7089850	4	4
89336	3609450	7089850	1	1
89335	3609350	7089850	1	0
89326	3608450	7089850	0	0
89325	3608350	7089850	0	0
89323	3608150	7089850	0	0
89322	3608050	7089850	0	0
89320	3607850	7089850	1	0
89318	3607650	7089850	9	0
89317	3607550	7089850	1	1
89316	3607450	7089850	14	4
89315	3607350	7089850	5	0
89314	3607250	7089850	3	1
89012	3614050	7089950	6	0
89011	3613950	7089950	5	1
89009	3613750	7089950	5	0
89008	3613650	7089950	2	0
89003	3613150	7089950	33	3
89002	3613050	7089950	37	4
89001	3612950	7089950	27	3
89000	3612850	7089950	6	17
88999	3612750	7089950	11	14
88998	3612650	7089950	4	0
88994	3612250	7089950	0	0
88992	3612050	7089950	6	1
88991	3611950	7089950	14	5
88990	3611850	7089950	7	3
88987	3611550	7089950	20	1
88985	3611350	7089950	36	9
88984	3611250	7089950	5	1
88983	3611150	7089950	7	6
88982	3611050	7089950	11	2
88981	3610950	7089950	14	1
88980	3610850	7089950	3	6
88979	3610750	7089950	4	2
88978	3610650	7089950	5	1
88973	3610150	7089950	14	4
88972	3610050	7089950	15	0
88971	3609950	7089950	4	9
88970	3609850	7089950	4	2
88966	3609450	7089950	0	0
88955	3608350	7089950	8	0
88953	3608150	7089950	0	1
88951	3607950	7089950	0	0
88947	3607550	7089950	0	1
88946	3607450	7089950	9	1
88945	3607350	7089950	1	1
88944	3607250	7089950	5	1
88640	3613850	7090050	0	0
88639	3613750	7090050	17	0
88638	3613650	7090050	26	4
88637	3613550	7090050	23	7
88631	3612950	7090050	24	0
88630	3612850	7090050	16	5
88629	3612750	7090050	6	5
88628	3612650	7090050	1	0
88624	3612250	7090050	0	0
88623	3612150	7090050	2	0
88620	3611850	7090050	14	6
88619	3611750	7090050	2	0
88618	3611650	7090050	1	1
88613	3611150	7090050	11	7
88612	3611050	7090050	6	5
88611	3610950	7090050	36	0
88610	3610850	7090050	27	0
88609	3610750	7090050	8	0
88608	3610650	7090050	5	3
88607	3610550	7090050	6	4
88606	3610450	7090050	2	1
88605	3610350	7090050	9	1
88602	3610050	7090050	6	1
88601	3609950	7090050	10	12
88600	3609850	7090050	24	6
88599	3609750	7090050	1	0
88595	3609350	7090050	0	0
88584	3608250	7090050	5	0
88583	3608150	7090050	1	0
88580	3607850	7090050	3	7
88577	3607550	7090050	0	1
88576	3607450	7090050	3	2
88575	3607350	7090050	1	2
88274	3614250	7090150	10	0
88266	3613450	7090150	0	2
88265	3613350	7090150	41	2
88264	3613250	7090150	2	1
88260	3612850	7090150	7	0
88259	3612750	7090150	9	0
88258	3612650	7090150	20	0
88253	3612150	7090150	0	0
88252	3612050	7090150	2	0
88249	3611750	7090150	3	3
88248	3611650	7090150	5	6
88247	3611550	7090150	0	0
88240	3610850	7090150	14	0
88239	3610750	7090150	20	1
88238	3610650	7090150	14	0
88237	3610550	7090150	2	8
88236	3610450	7090150	38	2
88235	3610350	7090150	24	0
88234	3610250	7090150	2	1
88231	3609950	7090150	8	0
88230	3609850	7090150	5	1
88229	3609750	7090150	4	0
88228	3609650	7090150	0	1
88227	3609550	7090150	0	1
88214	3608250	7090150	0	0
88213	3608150	7090150	1	0
88212	3608050	7090150	0	0
88206	3607450	7090150	8	8
88205	3607350	7090150	2	0
87907	3614550	7090250	0	0
87903	3614150	7090250	1	0
87895	3613350	7090250	47	3
87894	3613250	7090250	22	6
87893	3613150	7090250	0	0
87887	3612550	7090250	0	3
87881	3611950	7090250	12	0
87877	3611550	7090250	4	3
87876	3611450	7090250	0	1
87875	3611350	7090250	0	3
87867	3610550	7090250	58	3
87866	3610450	7090250	28	0
87865	3610350	7090250	52	3
87864	3610250	7090250	27	0
87860	3609850	7090250	4	2
87859	3609750	7090250	5	3
87858	3609650	7090250	2	1
87856	3609450	7090250	0	1
87850	3608850	7090250	2	0
87845	3608350	7090250	7	0
87844	3608250	7090250	3	0
87843	3608150	7090250	0	0
87842	3608050	7090250	2	0
87841	3607950	7090250	4	0
87840	3607850	7090250	1	0
87836	3607450	7090250	7	3
87835	3607350	7090250	4	0
87534	3614250	7090350	0	0
87533	3614150	7090350	0	0
87532	3614050	7090350	0	1
87524	3613250	7090350	0	2
87520	3612850	7090350	11	3
87510	3611850	7090350	5	0
87509	3611750	7090350	16	7
87508	3611650	7090350	16	1
87506	3611450	7090350	0	3
87505	3611350	7090350	0	2
87504	3611250	7090350	1	1
87503	3611150	7090350	3	1
87502	3611050	7090350	1	1
87501	3610950	7090350	0	0
87495	3610350	7090350	36	0
87494	3610250	7090350	15	0
87493	3610150	7090350	27	2
87488	3609650	7090350	1	3
87487	3609550	7090350	3	0
87480	3608850	7090350	0	2
87474	3608250	7090350	3	1
87473	3608150	7090350	3	1
87472	3608050	7090350	1	1
87471	3607950	7090350	0	2
87470	3607850	7090350	1	0
87469	3607750	7090350	0	0
87468	3607650	7090350	1	1
87467	3607550	7090350	2	1
87466	3607450	7090350	7	2
87164	3614250	7090450	3	1
87163	3614150	7090450	0	0
87162	3614050	7090450	0	0
87154	3613250	7090450	5	1
87153	3613150	7090450	6	1
87151	3612950	7090450	0	0
87149	3612750	7090450	21	1
87148	3612650	7090450	10	4
87147	3612550	7090450	0	0
87146	3612450	7090450	0	0
87139	3611750	7090450	10	5
87137	3611550	7090450	10	2
87134	3611250	7090450	0	0
87133	3611150	7090450	22	0
87132	3611050	7090450	23	3
87131	3610950	7090450	4	1
87130	3610850	7090450	1	0
87120	3609850	7090450	22	2
87119	3609750	7090450	4	6
87117	3609550	7090450	0	0
87115	3609350	7090450	9	4
87113	3609150	7090450	1	3
87103	3608150	7090450	1	2
87102	3608050	7090450	0	2
87101	3607950	7090450	1	0
87100	3607850	7090450	0	0
87099	3607750	7090450	0	2
87098	3607650	7090450	4	0
87097	3607550	7090450	7	3
87096	3607450	7090450	7	5
86794	3614250	7090550	4	0
86793	3614150	7090550	1	0
86792	3614050	7090550	0	0
86791	3613950	7090550	0	0
86784	3613250	7090550	16	0
86783	3613150	7090550	4	0
86779	3612750	7090550	10	5
86778	3612650	7090550	9	0
86777	3612550	7090550	0	0
86770	3611850	7090550	3	0
86767	3611550	7090550	0	1
86766	3611450	7090550	0	0
86763	3611150	7090550	5	1
86762	3611050	7090550	16	0
86761	3610950	7090550	7	0
